"Region";"Type";"Date";"Variable";"Value"
"03 Oslo";"02 Brukte eneboliger";2005;"Kvadratmeterpris (kr)";25504
"03 Oslo";"02 Brukte eneboliger";2005;"Endring i prosent fra foregående år";16,4
"03 Oslo";"02 Brukte eneboliger";2005;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";109
"03 Oslo";"02 Brukte eneboliger";2006;"Kvadratmeterpris (kr)";28099
"03 Oslo";"02 Brukte eneboliger";2006;"Endring i prosent fra foregående år";10,2
"03 Oslo";"02 Brukte eneboliger";2006;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";113
"03 Oslo";"02 Brukte eneboliger";2007;"Kvadratmeterpris (kr)";31046
"03 Oslo";"02 Brukte eneboliger";2007;"Endring i prosent fra foregående år";10,5
"03 Oslo";"02 Brukte eneboliger";2007;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";113
"03 Oslo";"02 Brukte eneboliger";2008;"Kvadratmeterpris (kr)";31603
"03 Oslo";"02 Brukte eneboliger";2008;"Endring i prosent fra foregående år";1,8
"03 Oslo";"02 Brukte eneboliger";2008;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";
"03 Oslo";"02 Brukte eneboliger";2009;"Kvadratmeterpris (kr)";32601
"03 Oslo";"02 Brukte eneboliger";2009;"Endring i prosent fra foregående år";3,2
"03 Oslo";"02 Brukte eneboliger";2009;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";81,5
"03 Oslo";"02 Brukte eneboliger";2010;"Kvadratmeterpris (kr)";35100
"03 Oslo";"02 Brukte eneboliger";2010;"Endring i prosent fra foregående år";8,2
"03 Oslo";"02 Brukte eneboliger";2010;"Nypris i prosent av bruktpris og bruktpris i prosent av nypris";83,6
"03 Oslo";"02 Brukte eneboliger";2011;"Kvadratmeterpris (kr)";38480
"03 Oslo";"02 Brukte eneboliger";2011;"Endring i prosent fra foregående år";9,6
